"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"ACC1";"";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";"";"1822072";"unknown";
"ACC2";"";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";"";"1822072";"unknown";
"ACC3";"";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";"";"1822072";"unknown";
"BATT1";"";"CON_XT60-PCB_MOUNT";"CON_XT60_PCB_MOUNT";"";"";"";"";"";
"BATT1_W";"";"CON_XT60-PIGTAIL";"CON_XT60_PIGTAIL";"";"";"";"";"";
"BATT2";"";"CON_XT60-PCB_MOUNT";"CON_XT60_PCB_MOUNT";"";"";"";"";"";
"BATT2_W";"";"CON_XT60-PIGTAIL";"CON_XT60_PIGTAIL";"";"";"";"";"";
"BAT_MON";"";"TSW-101-02-S-S";"TSW-101-02-S-S";"THROUGH-HOLE .025" SQ POST HEADER";"";"";"unknown";"unknown";
"C1";"10uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";
"C2";"";"CPOL-USTT5D11";"TT5D11";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"C3";"";"CPOL-USTT5D11";"TT5D11";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"C5";"10uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";
"C6";"10uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";
"C7";"10uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";
"C8";"10uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";
"C9";"10uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";
"C10";"10uF";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";
"D1";"8.5V";"SUPPRESSOR-SMBJ";"SMBJ";"Suppressor diode";"";"";"";"";
"D2";"3.3V";"ZENER-DIODESMB";"SMB";"Z-Diode";"";"";"";"";
"DUE";"";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";"";"1822072";"unknown";
"F_BATT";"15A";"FUSE-ATO";"ATO";"Automotive Fuse, PCB Mount";"";"";"";"";
"F_DUE";"2A";"FUSE-ATO";"ATO";"Automotive Fuse, PCB Mount";"";"";"";"";
"F_SERVO1";"7.5A";"FUSE-ATO";"ATO";"Automotive Fuse, PCB Mount";"";"";"";"";
"F_SERVO2";"7.5A";"FUSE-ATO";"ATO";"Automotive Fuse, PCB Mount";"";"";"";"";
"LED1";"";"LEDSML1206";"SML1206";"LED";"";"";"";"";
"LED2";"";"LEDSML1206";"SML1206";"LED";"";"";"";"";
"LED3";"";"LEDSML1206";"SML1206";"LED";"";"";"";"";
"LED4";"";"LEDSML1206";"SML1206";"LED";"";"";"";"";
"LED5";"";"LEDSML1206";"SML1206";"LED";"";"";"";"";
"LED6";"";"LEDSML1206";"SML1206";"LED";"";"";"";"";
"R1";"1K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";
"R2";"1K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";
"R3";"1K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";
"R4";"1K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";
"R5";"1K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";
"R6";"1K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";
"R7";"3K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";
"R8";"2.2K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";
"SERVO1";"";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";"";"1822072";"unknown";
"SERVO2";"";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";"";"1822072";"unknown";
"U$1";"MIC29150/29300/29500VERTICAL";"MIC29150/29300/29500VERTICAL";"TO220V";"";"";"";"";"";
"U$2";"MIC29150/29300/29500VERTICAL";"MIC29150/29300/29500VERTICAL";"TO220V";"";"";"";"";"";
"U$3";"MIC29150/29300/29500VERTICAL";"MIC29150/29300/29500VERTICAL";"TO220V";"";"";"";"";"";
